appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1510930,CYBER EMOJI TALE 2099,MICROCHELIK5000,MICROCHELIK5000,,105,14,0,"50,000 .. 100,000",0,0,0,0,0.99,0.99,0,0
2246030,Meer's: Escape,Meer's,Meer's,,1,2,0,"50,000 .. 100,000",0,0,0,0,1.19,3.99,70,0
320840,Wings! Remastered Edition,Cinemaware,Starbreeze Publishing AB,,390,108,0,"50,000 .. 100,000",0,0,0,0,14.99,14.99,0,2
359650,Star Trek : 25th Anniversary,Interplay Entertainment Corp.,Interplay Entertainment Corp.,,116,12,0,"50,000 .. 100,000",0,0,0,0,9.99,9.99,0,1
364300,Space Rogue,Red Beat,Red Beat,,289,157,0,"50,000 .. 100,000",0,0,0,0,9.99,9.99,0,1
393430,Ice Lakes,Iceflake Studios,Paradox Interactive,,1298,217,0,"50,000 .. 100,000",0,0,0,0,14.99,14.99,0,11
608760,Doodle Devil,JoyBits Ltd.,JoyBits Ltd.,,120,28,0,"50,000 .. 100,000",0,0,0,0,9.99,9.99,0,1
600280,Supreme Ruler The Great War,BattleGoat Studios,BattleGoat Studios,,71,39,0,"50,000 .. 100,000",0,0,0,0,19.99,19.99,0,6
672860,StellarHub,Casualogic,Valkyrie Initiative,,121,93,0,"50,000 .. 100,000",0,0,0,0,0.99,0.99,0,3
830810,Death Game,Enemby Games,"Enemby Games, Fractured Mind",,7,9,0,"50,000 .. 100,000",0,0,0,0,0.99,0.99,0,0
803980,Plane Mechanic Simulator,"Cobble Games, Disaster Studio",Movie Games S.A.,,910,558,0,"50,000 .. 100,000",0,0,0,0,1.19,11.99,90,9
1094540,Smelter,"X PLUS Co., Ltd.","DANGEN Entertainment, Gamera Games, Intragames",,141,55,0,"50,000 .. 100,000",0,0,0,0,19.99,19.99,0,0
1116550,Elon Simulator 2019,SRS Games,SRS Games,,398,78,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,0
1209750,FlowState,"Timothy Ichiyasu, Joshua Rice",None,,81,18,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,0
1389160,Dark Fracture: Prologue,Twisted II Studio,"Twisted II Studio, Feardemic",,1022,170,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,0
1309820,Remains,SoloQ,SoloQ,,213,58,0,"50,000 .. 100,000",0,0,0,0,5.99,5.99,0,3
1468370,Snow Strike,"Epyx, Inc.",Pixel Games UK,,1,1,0,"50,000 .. 100,000",0,0,0,0,3.99,3.99,0,0
1494950,Space Cats Tactics: Prologue,Mitzi Games,Mitzi Games,,99,5,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,0
1720770,Cosmo 02,FYGOURO,Gigantum Games,,4,0,0,"50,000 .. 100,000",0,0,0,0,2.99,29.99,90,0
1772840,Dragon War,QJ,QJ,,3,0,0,"50,000 .. 100,000",0,0,0,0,9.99,9.99,0,0
475490,Major\Minor - Complete Edition,Klace,Klace,,443,133,0,"50,000 .. 100,000",0,0,0,0,0.0,0.0,0,1
504880,Pixel Puzzles 2: RADical ROACH,Pixel Puzzles,Pixel Puzzles,,72,24,0,"50,000 .. 100,000",0,0,0,0,4.99,4.99,0,0
